Incident_Number,Area_Occ,Rpt_Dist,Dispatch_Date,Dispatch_Time,Call_Type_Code,Call_Type_Text
PD22012600000111,Central,0156,01/26/2022 12:00:00 AM,00:56:33,242D,DOM VIOL
PD22012600000147,Outside,,01/26/2022 12:00:00 AM,00:56:28,006,CODE 6
PD22012600000129,Southeast,1841,01/26/2022 12:00:00 AM,00:56:25,459P1S,POSS BFV SUSP
PD22012600000082,Southeast,1826,01/26/2022 12:00:00 AM,00:56:21,415M,MAN
PD22012600000105,77th Street,1204,01/26/2022 12:00:00 AM,00:56:20,620D,DOM VIOL
PD22012600000146,Outside,,01/26/2022 12:00:00 AM,00:56:20,006,CODE 6
PD22012600000053,Southeast,1826,01/26/2022 12:00:00 AM,00:56:16,507P,PARTY
PD22012600000145,Outside,,01/26/2022 12:00:00 AM,00:56:07,006,CODE 6
PD22012600000110,Southeast,1834,01/26/2022 12:00:00 AM,00:55:26,503P1,POSS STOLEN
PD22012600000139,N Hollywood,1595,01/26/2022 12:00:00 AM,00:54:03,906B1,CODE 30 RINGER
PD22012600000080,Olympic,2044,01/26/2022 12:00:00 AM,00:53:50,9046,DUI INVD
PD22012600000141,Outside,,01/26/2022 12:00:00 AM,00:53:37,902,TRAFFIC STOP
PD22012600000124,Hollenbeck,0453,01/26/2022 12:00:00 AM,00:53:32,211I,INVEST
PD22012600000103,Newton,1375,01/26/2022 12:00:00 AM,00:53:03,9032,HAZARD
PD22012600000133,Wilshire,0749,01/26/2022 12:00:00 AM,00:52:53,245J,J/O
PD22012600000138,Hollywood,0642,01/26/2022 12:00:00 AM,00:52:44,006,CODE 6
PD22012600000135,N Hollywood,1532,01/26/2022 12:00:00 AM,00:52:08,906B1,CODE 30 RINGER
PD22012600000134,Foothill,1689,01/26/2022 12:00:00 AM,00:51:07,006,CODE 6
PD22012600000132,Outside,,01/26/2022 12:00:00 AM,00:50:47,006,CODE 6
PD22012600000128,Outside,,01/26/2022 12:00:00 AM,00:49:37,006,CODE 6
PD22012600000127,Outside,,01/26/2022 12:00:00 AM,00:47:41,006,CODE 6
PD22012600000123,Wilshire,0722,01/26/2022 12:00:00 AM,00:47:20,930W,WMN
PD22012600000120,West LA,0858,01/26/2022 12:00:00 AM,00:47:19,620D,DOM VIOL
PD22012600000126,Outside,,01/26/2022 12:00:00 AM,00:47:00,006,CODE 6
PD22012600000122,Outside,,01/26/2022 12:00:00 AM,00:46:23,006,CODE 6
PD22012600000118,Wilshire,0735,01/26/2022 12:00:00 AM,00:46:22,242PJ,POSS J/O
PD22012600000121,77th Street,1231,01/26/2022 12:00:00 AM,00:46:00,006,CODE 6
PD22012600000119,Hollywood,0644,01/26/2022 12:00:00 AM,00:45:52,006,CODE 6
PD22012600000102,Central,0176,01/26/2022 12:00:00 AM,00:45:51,507O,OTHER
PD22012600000097,N Hollywood,1543,01/26/2022 12:00:00 AM,00:45:37,507P,PARTY
PD22012600000106,Topanga,2149,01/26/2022 12:00:00 AM,00:44:04,906B1,CODE 30 RINGER
PD22012600000075,West Valley,1018,01/26/2022 12:00:00 AM,00:43:36,415M,MAN
PD22012600000066,Topanga,2175,01/26/2022 12:00:00 AM,00:43:20,9212,TRESPASS SUSP
PD22012600000115,Central,0119,01/26/2022 12:00:00 AM,00:42:28,006,CODE 6
PD22012600000114,Outside,,01/26/2022 12:00:00 AM,00:42:02,006,CODE 6
PD22012600000113,Outside,,01/26/2022 12:00:00 AM,00:42:00,902,TRAFFIC STOP
PD22012600000112,Mission,1987,01/26/2022 12:00:00 AM,00:41:49,006,CODE 6
PD22012600000099,West LA,0817,01/26/2022 12:00:00 AM,00:41:03,9212,TRESPASS SUSP
PD22012600000108,Southeast,1801,01/26/2022 12:00:00 AM,00:40:59,484SN,SUSP NOW
PD22012600000109,Outside,,01/26/2022 12:00:00 AM,00:40:56,006,CODE 6
PD22012600000104,Outside,,01/26/2022 12:00:00 AM,00:39:55,006,CODE 6
PD22012600000074,Rampart,0236,01/26/2022 12:00:00 AM,00:39:25,459T1S,ATT BFV SUSP
PD22012600000101,Outside,,01/26/2022 12:00:00 AM,00:39:12,006,CODE 6
PD22012600000100,Hollywood,0643,01/26/2022 12:00:00 AM,00:38:55,902,TRAFFIC STOP
PD22012600000098,Hollywood,0643,01/26/2022 12:00:00 AM,00:38:01,006,CODE 6
PD22012600000015,Rampart,0235,01/26/2022 12:00:00 AM,00:37:46,907A2,AMB O/D
PD22012600000096,Outside,,01/26/2022 12:00:00 AM,00:36:34,006,CODE 6
PD22012600000095,Outside,,01/26/2022 12:00:00 AM,00:36:21,006,CODE 6
PD22012600000087,N Hollywood,1585,01/26/2022 12:00:00 AM,00:35:48,459TS,ATT SUSP
PD22012600000077,Hollywood,0657,01/26/2022 12:00:00 AM,00:35:10,507C,CONSTRUCTION
PD22012600000094,Outside,,01/26/2022 12:00:00 AM,00:35:09,006,CODE 6
PD22012600000093,Outside,,01/26/2022 12:00:00 AM,00:34:42,006,CODE 6
PD22012600000092,Outside,,01/26/2022 12:00:00 AM,00:34:39,902,TRAFFIC STOP
PD22012600000091,Outside,,01/26/2022 12:00:00 AM,00:34:20,006,CODE 6
PD22012600000090,Outside,,01/26/2022 12:00:00 AM,00:34:05,006,CODE 6
PD22012600000089,Hollywood,0642,01/26/2022 12:00:00 AM,00:34:03,006,CODE 6
PD22012600000081,West LA,0893,01/26/2022 12:00:00 AM,00:33:36,507O,OTHER
PD22012500004992,West LA,0836,01/26/2022 12:00:00 AM,00:33:17,9212,TRESPASS SUSP
PD22012600000086,N Hollywood,1549,01/26/2022 12:00:00 AM,00:32:57,006,CODE 6
PD22012600000057,Mission,1962,01/26/2022 12:00:00 AM,00:32:40,242D,DOM VIOL
PD22012600000019,Northeast,1184,01/26/2022 12:00:00 AM,00:32:36,9212,TRESPASS SUSP
PD22012600000084,Outside,,01/26/2022 12:00:00 AM,00:32:34,006,CODE 6
PD22012600000083,Outside,,01/26/2022 12:00:00 AM,00:32:30,006,CODE 6
PD22012600000067,77th Street,1266,01/26/2022 12:00:00 AM,00:31:52,620N,NEIGHBOR
PD22012600000048,Mission,1963,01/26/2022 12:00:00 AM,00:31:51,390G,GRP
PD22012600000023,77th Street,1267,01/26/2022 12:00:00 AM,00:31:51,921C,COMPLAINT
PD22012600000079,Southeast,1802,01/26/2022 12:00:00 AM,00:31:23,006,CODE 6
PD22012600000078,77th Street,1255,01/26/2022 12:00:00 AM,00:30:27,006,CODE 6
PD22012600000076,Outside,,01/26/2022 12:00:00 AM,00:29:42,006,CODE 6
PD22012600000041,Central,0127,01/26/2022 12:00:00 AM,00:29:33,9212,TRESPASS SUSP
PD22012600000073,Outside,,01/26/2022 12:00:00 AM,00:29:15,006,CODE 6
PD22012600000043,Olympic,2014,01/26/2022 12:00:00 AM,00:28:25,314M,MAN
PD22012600000033,Southwest,0329,01/26/2022 12:00:00 AM,00:28:22,9065,VISUAL (C30 VICTOR)
PD22012600000071,Outside,,01/26/2022 12:00:00 AM,00:27:44,006,CODE 6
PD22012600000064,Rampart,0236,01/26/2022 12:00:00 AM,00:27:00,459X,I/P
PD22012600000070,Outside,,01/26/2022 12:00:00 AM,00:25:50,006,CODE 6
PD22012600000069,Hollywood,0645,01/26/2022 12:00:00 AM,00:25:41,006,CODE 6
PD22012500004962,Topanga,2155,01/26/2022 12:00:00 AM,00:25:04,921C,COMPLAINT
PD22012600000065,Hollywood,0643,01/26/2022 12:00:00 AM,00:24:45,006,CODE 6
PD22012600000062,Hollenbeck,0402,01/26/2022 12:00:00 AM,00:24:00,594SN,SUSP NOW
PD22012600000021,Topanga,2147,01/26/2022 12:00:00 AM,00:23:12,242DI,DOM VIOL INVESTIGATI
PD22012600000061,Outside,,01/26/2022 12:00:00 AM,00:22:11,006,CODE 6
PD22012600000060,Outside,,01/26/2022 12:00:00 AM,00:22:04,006,CODE 6
PD22012600000049,Hollywood,0629,01/26/2022 12:00:00 AM,00:21:32,507R,RADIO
PD22012600000052,Wilshire,0765,01/26/2022 12:00:00 AM,00:21:18,507R,RADIO
PD22012600000059,Outside,,01/26/2022 12:00:00 AM,00:21:01,006,CODE 6
PD22012600000058,Outside,,01/26/2022 12:00:00 AM,00:20:41,006,CODE 6
PD22012600000056,Outside,,01/26/2022 12:00:00 AM,00:19:31,902,TRAFFIC STOP
PD22012600000055,Outside,,01/26/2022 12:00:00 AM,00:19:30,006,CODE 6
PD22012600000054,Southwest,0314,01/26/2022 12:00:00 AM,00:19:11,006,CODE 6
PD22012600000051,Outside,,01/26/2022 12:00:00 AM,00:18:34,006,CODE 6
PD22012500004932,Southeast,1824,01/26/2022 12:00:00 AM,00:18:16,390G,GRP
PD22012600000047,West Valley,1018,01/26/2022 12:00:00 AM,00:18:16,5033J,GTA J/O
PD22012600000020,Southeast,1824,01/26/2022 12:00:00 AM,00:18:13,447PS,POSS SUSP
PD22012600000050,Outside,,01/26/2022 12:00:00 AM,00:18:10,006,CODE 6
PD22012600000031,Rampart,0261,01/26/2022 12:00:00 AM,00:17:40,620DR,DOM VIOL R/O
PD22012600000044,77th Street,1265,01/26/2022 12:00:00 AM,00:17:14,415M,MAN
PD22012600000046,Outside,,01/26/2022 12:00:00 AM,00:15:40,006,CODE 6
PD22012600000042,Outside,,01/26/2022 12:00:00 AM,00:14:43,006,CODE 6
PD22012600000030,Central,0164,01/26/2022 12:00:00 AM,00:14:26,507R,RADIO
PD22012600000032,Van Nuys,0941,01/26/2022 12:00:00 AM,00:14:18,9065,VISUAL (C30 VICTOR)
PD22012600000040,Outside,,01/26/2022 12:00:00 AM,00:14:17,006,CODE 6
PD22012600000038,Outside,,01/26/2022 12:00:00 AM,00:13:45,006,CODE 6
PD22012600000008,Central,0162,01/26/2022 12:00:00 AM,00:13:28,9212N,TRESPASS SUSP NOW
PD22012600000036,Outside,,01/26/2022 12:00:00 AM,00:13:00,902,TRAFFIC STOP
PD22012600000035,Outside,,01/26/2022 12:00:00 AM,00:12:29,006,CODE 6
PD22012600000006,Southeast,1844,01/26/2022 12:00:00 AM,00:11:40,594SN,SUSP NOW
PD22012600000029,Outside,,01/26/2022 12:00:00 AM,00:11:39,006,CODE 6
PD22012600000022,Devonshire,1762,01/26/2022 12:00:00 AM,00:11:22,447PS,POSS SUSP
PD22012600000028,Outside,,01/26/2022 12:00:00 AM,00:11:17,006,CODE 6
PD22012500004986,Topanga,2158,01/26/2022 12:00:00 AM,00:11:13,459SN,SUSP NOW
PD22012600000027,Hollywood,0643,01/26/2022 12:00:00 AM,00:11:02,006,CODE 6
PD22012600000026,Outside,,01/26/2022 12:00:00 AM,00:11:01,006,CODE 6
PD22012600000025,Outside,,01/26/2022 12:00:00 AM,00:10:03,990,BACK-UP
PD22012600000024,Outside,,01/26/2022 12:00:00 AM,00:09:16,006,CODE 6
PD22012600000018,Foothill,1635,01/26/2022 12:00:00 AM,00:08:48,4591SN,BFV SUSP NOW
PD22012500004974,West LA,0851,01/26/2022 12:00:00 AM,00:08:15,620F,FAMILY
PD22012500004989,Newton,1371,01/26/2022 12:00:00 AM,00:07:40,415M,MAN
PD22012600000017,Outside,,01/26/2022 12:00:00 AM,00:07:27,006,CODE 6
PD22012600000016,Outside,,01/26/2022 12:00:00 AM,00:07:23,006,CODE 6
PD22012500004941,Devonshire,1701,01/26/2022 12:00:00 AM,00:07:03,415M,MAN
PD22012600000014,Foothill,1643,01/26/2022 12:00:00 AM,00:06:18,006,CODE 6
PD22012600000007,Southeast,1871,01/26/2022 12:00:00 AM,00:06:13,9212,TRESPASS SUSP
PD22012600000010,Harbor,0525,01/26/2022 12:00:00 AM,00:05:58,921C,COMPLAINT
PD22012600000011,Van Nuys,0926,01/26/2022 12:00:00 AM,00:04:53,918VM,VIOLENT MALE
PD22012600000012,Outside,,01/26/2022 12:00:00 AM,00:04:28,006,CODE 6
PD22012500004953,Newton,1331,01/26/2022 12:00:00 AM,00:03:03,906B1,CODE 30 RINGER
PD22012600000009,77th Street,1205,01/26/2022 12:00:00 AM,00:02:54,006,CODE 6
PD22012500004966,N Hollywood,1512,01/26/2022 12:00:00 AM,00:02:42,4591SN,BFV SUSP NOW
PD22012600000003,77th Street,1267,01/26/2022 12:00:00 AM,00:02:02,921C,COMPLAINT
PD22012600000005,Outside,,01/26/2022 12:00:00 AM,00:01:17,006,CODE 6
PD22012500004977,Newton,1362,01/26/2022 12:00:00 AM,00:01:14,242SN,SUSP NOW
PD22012600000004,77th Street,1265,01/26/2022 12:00:00 AM,00:01:07,006,CODE 6
PD22012500004840,Mission,1915,01/26/2022 12:00:00 AM,00:00:50,242D,DOM VIOL
PD22012600000002,Outside,,01/26/2022 12:00:00 AM,00:00:44,902,TRAFFIC STOP
PD22012500004960,Wilshire,0722,01/26/2022 12:00:00 AM,00:00:21,918PF,POSS FEM
PD22012500004990,Pacific,1415,01/26/2022 12:00:00 AM,00:00:03,242S,SUSP
PD22012500004991,N Hollywood,1538,01/25/2022 12:00:00 AM,23:59:58,245PD,ADW POSS DOM VIOL
PD22012500004994,Outside,,01/25/2022 12:00:00 AM,23:59:41,006,CODE 6
PD22012500004993,Outside,,01/25/2022 12:00:00 AM,23:59:18,006,CODE 6
PD22012500004683,Olympic,2034,01/25/2022 12:00:00 AM,23:58:51,507O,OTHER
PD22012500004389,Olympic,2041,01/25/2022 12:00:00 AM,23:58:46,415M,MAN
PD22012500004902,Pacific,1432,01/25/2022 12:00:00 AM,23:58:14,507O,OTHER
PD22012500004988,Outside,,01/25/2022 12:00:00 AM,23:57:41,006,CODE 6
PD22012500004987,Outside,,01/25/2022 12:00:00 AM,23:57:17,902,TRAFFIC STOP
PD22012500004985,Outside,,01/25/2022 12:00:00 AM,23:56:45,006,CODE 6
PD22012500004922,Olympic,2029,01/25/2022 12:00:00 AM,23:55:15,242J,J/O
PD22012500004924,Southwest,0316,01/25/2022 12:00:00 AM,23:54:22,620M,MAN/WMN
PD22012500004982,Outside,,01/25/2022 12:00:00 AM,23:54:20,006,CODE 6
PD22012500004951,Hollywood,0666,01/25/2022 12:00:00 AM,23:54:18,507P,PARTY
PD22012500004742,Southwest,0341,01/25/2022 12:00:00 AM,23:54:17,620F,FAMILY
PD22012500004981,Outside,,01/25/2022 12:00:00 AM,23:53:25,006,CODE 6
PD22012500004921,Mission,1982,01/25/2022 12:00:00 AM,23:53:24,620DR,DOM VIOL R/O
PD22012500004980,Outside,,01/25/2022 12:00:00 AM,23:53:14,006,CODE 6
PD22012500004979,Outside,,01/25/2022 12:00:00 AM,23:53:09,006,CODE 6
PD22012500004973,Southeast,1821,01/25/2022 12:00:00 AM,23:53:03,904A3,AMB CPI
PD22012500004949,Hollywood,0663,01/25/2022 12:00:00 AM,23:52:31,907P3,POSS ATT SUICIDE
PD22012500004916,77th Street,1245,01/25/2022 12:00:00 AM,23:50:20,261P,POSS
PD22012500004972,Outside,,01/25/2022 12:00:00 AM,23:50:17,006,CODE 6
PD22012500004971,Outside,,01/25/2022 12:00:00 AM,23:50:03,006,CODE 6
PD22012500004970,Outside,,01/25/2022 12:00:00 AM,23:49:50,006,CODE 6
PD22012500004871,Harbor,0511,01/25/2022 12:00:00 AM,23:49:24,503P1,POSS STOLEN
PD22012500004904,Central,0159,01/25/2022 12:00:00 AM,23:49:17,906B1,CODE 30 RINGER
PD22012500004936,Central,0162,01/25/2022 12:00:00 AM,23:49:10,4591I,BFV INVEST
PD22012500004968,Foothill,1675,01/25/2022 12:00:00 AM,23:49:08,006,CODE 6
PD22012500004967,Wilshire,0789,01/25/2022 12:00:00 AM,23:48:38,006,CODE 6
PD22012500004863,Mission,1984,01/25/2022 12:00:00 AM,23:48:16,415W,WOMAN
PD22012500004964,Outside,,01/25/2022 12:00:00 AM,23:47:42,006,CODE 6
PD22012500004958,77th Street,1245,01/25/2022 12:00:00 AM,23:47:16,246H,HEARD ONLY
PD22012500004963,Outside,,01/25/2022 12:00:00 AM,23:46:58,902,TRAFFIC STOP
PD22012500004961,77th Street,1208,01/25/2022 12:00:00 AM,23:46:38,006,CODE 6
PD22012500004959,Hollenbeck,0478,01/25/2022 12:00:00 AM,23:46:12,620D,DOM VIOL
PD22012500004957,Outside,,01/25/2022 12:00:00 AM,23:45:13,006,CODE 6
PD22012500004956,Outside,,01/25/2022 12:00:00 AM,23:45:01,006,CODE 6
PD22012500004934,77th Street,1267,01/25/2022 12:00:00 AM,23:42:10,246H,HEARD ONLY
PD22012500004946,Mission,1913,01/25/2022 12:00:00 AM,23:42:09,415M,MAN
PD22012500004947,Outside,,01/25/2022 12:00:00 AM,23:41:33,006,CODE 6
PD22012500004945,Foothill,1602,01/25/2022 12:00:00 AM,23:41:28,006,CODE 6
PD22012500004944,Outside,,01/25/2022 12:00:00 AM,23:41:27,006,CODE 6
PD22012500004938,Wilshire,0719,01/25/2022 12:00:00 AM,23:40:59,9212N,TRESPASS SUSP NOW
PD22012500004943,77th Street,1252,01/25/2022 12:00:00 AM,23:40:46,006,CODE 6
PD22012500004940,Outside,,01/25/2022 12:00:00 AM,23:40:12,006,CODE 6
PD22012500004939,Wilshire,0779,01/25/2022 12:00:00 AM,23:40:08,006,CODE 6
PD22012500004937,Outside,,01/25/2022 12:00:00 AM,23:39:07,902,TRAFFIC STOP
PD22012500004896,Southwest,0334,01/25/2022 12:00:00 AM,23:38:24,110PS,POSS NARCOTIC SUSP
PD22012500004935,Outside,,01/25/2022 12:00:00 AM,23:38:05,006,CODE 6
PD22012500004923,Newton,1383,01/25/2022 12:00:00 AM,23:37:56,620DR,DOM VIOL R/O
PD22012500004917,Devonshire,1713,01/25/2022 12:00:00 AM,23:37:50,921S,SUSP
PD22012500004755,Devonshire,1781,01/25/2022 12:00:00 AM,23:37:40,507O,OTHER
PD22012500004933,Outside,,01/25/2022 12:00:00 AM,23:37:26,006,CODE 6
PD22012500004931,Outside,,01/25/2022 12:00:00 AM,23:37:25,006,CODE 6
PD22012500004716,Olympic,2025,01/25/2022 12:00:00 AM,23:37:15,507R,RADIO
PD22012500004911,Central,0119,01/25/2022 12:00:00 AM,23:37:11,620M,MAN/WMN
PD22012500004930,Outside,,01/25/2022 12:00:00 AM,23:37:04,006,CODE 6
PD22012500004927,77th Street,1251,01/25/2022 12:00:00 AM,23:36:44,006,CODE 6
PD22012500004926,Outside,,01/25/2022 12:00:00 AM,23:36:15,006,CODE 6
PD22012500004925,Outside,,01/25/2022 12:00:00 AM,23:36:05,006,CODE 6
PD22012500004919,Topanga,2137,01/25/2022 12:00:00 AM,23:35:42,415G,GRP
PD22012500004878,Southwest,0331,01/25/2022 12:00:00 AM,23:35:26,9212,TRESPASS SUSP
PD22012500004920,Hollywood,0625,01/25/2022 12:00:00 AM,23:34:59,006,CODE 6
PD22012500004918,Pacific,1432,01/25/2022 12:00:00 AM,23:34:12,006,CODE 6
PD22012500004914,Van Nuys,0941,01/25/2022 12:00:00 AM,23:34:02,906B1,CODE 30 RINGER
PD22012500004915,Outside,,01/25/2022 12:00:00 AM,23:33:50,006,CODE 6
PD22012500004890,N Hollywood,1544,01/25/2022 12:00:00 AM,23:33:29,921C,COMPLAINT
PD22012500004854,Foothill,1633,01/25/2022 12:00:00 AM,23:33:08,9201,CHILD
PD22012500004913,Outside,,01/25/2022 12:00:00 AM,23:32:48,006,CODE 6
PD22012500004912,77th Street,1259,01/25/2022 12:00:00 AM,23:32:28,006,CODE 6
PD22012500004872,Devonshire,1723,01/25/2022 12:00:00 AM,23:32:17,918AJ,AMB JUV
PD22012500004900,Central,0152,01/25/2022 12:00:00 AM,23:31:57,415G,GRP
PD22012500004910,Outside,,01/25/2022 12:00:00 AM,23:31:49,006,CODE 6
PD22012500004908,Outside,,01/25/2022 12:00:00 AM,23:31:47,006,CODE 6
PD22012500004907,Outside,,01/25/2022 12:00:00 AM,23:31:33,006,CODE 6
PD22012500004906,Outside,,01/25/2022 12:00:00 AM,23:31:23,006,CODE 6
PD22012500004905,Outside,,01/25/2022 12:00:00 AM,23:30:59,006,CODE 6
PD22012500004899,Southwest,0378,01/25/2022 12:00:00 AM,23:30:45,906B1,CODE 30 RINGER
PD22012500004903,Outside,,01/25/2022 12:00:00 AM,23:30:44,006,CODE 6
PD22012500004898,Newton,1394,01/25/2022 12:00:00 AM,23:30:17,245SN,SUSP NOW
PD22012500004901,Outside,,01/25/2022 12:00:00 AM,23:29:56,006,CODE 6
PD22012500004730,Central,0139,01/25/2022 12:00:00 AM,23:29:37,906B1,CODE 30 RINGER
PD22012500004439,Central,0111,01/25/2022 12:00:00 AM,23:29:26,507O,OTHER
PD22012500004836,Central,0182,01/25/2022 12:00:00 AM,23:28:52,314M,MAN
PD22012500004897,Outside,,01/25/2022 12:00:00 AM,23:28:51,902,TRAFFIC STOP
PD22012500004892,Central,0124,01/25/2022 12:00:00 AM,23:28:27,907A3,AMB ATT SUICIDE
PD22012500004880,Olympic,2001,01/25/2022 12:00:00 AM,23:28:18,907A2,AMB O/D
PD22012500004864,Northeast,1162,01/25/2022 12:00:00 AM,23:27:54,507R,RADIO
PD22012500004891,Outside,,01/25/2022 12:00:00 AM,23:26:58,006,CODE 6
PD22012500004886,Wilshire,0733,01/25/2022 12:00:00 AM,23:26:39,459PSN,POSS SUSP NOW
PD22012500004889,77th Street,1249,01/25/2022 12:00:00 AM,23:26:20,006,CODE 6
PD22012500004883,Harbor,0566,01/25/2022 12:00:00 AM,23:26:20,900,UNKNOWN TROUBLE
PD22012500004860,Rampart,0271,01/25/2022 12:00:00 AM,23:26:19,620FR,FAMILY R/O
PD22012500004884,Pacific,1443,01/25/2022 12:00:00 AM,23:26:10,594SN,SUSP NOW
